Nome do Produto;Preço;Quantidade;
Camiseta;25.00;100;
Calça Jeans;50.00;75;
Tênis;80.00;50;
Óculos de Sol;30.00;120;
Mochila;45.00;90;
Chapéu;15.00;80;
Cinto de Couro;35.00;60;
Jaqueta de Inverno;100.00;40;
Sapato Social;70.00;65;
Bolsa Feminina;55.00;85;
Camisa Polo;40.00;70;
Shorts Jeans;20.00;110;
Boné;10.00;95;
Vestido de Verão;60.00;55;
Sandália Rasteira;30.00;120;
Meia Pack com 5 pares;12.00;150;
Brinco de Prata;25.00;80;
Relógio Digital;50.00;45;
Moletom com Capuz;55.00;70;
Lenço de Seda;18.00;100;
Camiseta Regata;15.00;80;
Shorts de Praia;25.00;65;
Sunga Estampada;20.00;70;
Biquíni Cortininha;35.00;55;
Óculos de Natação;10.00;90;
Chinelo Slide;18.00;100;
Bolsa Térmica;30.00;45;
Garrafa de Água Esportiva;12.00;120;
Legging Esportiva;40.00;60;
Luvas de Academia;15.00;85;
Camiseta de Futebol;45.00;50;
Meião de Futebol;8.00;75;
Tênis de Futsal;60.00;40;
Protetor Solar FPS 50;20.00;110;
Toalha de Praia;25.00;90;
Pulseira de Silicone;5.00;150;
Colar de Pérolas;30.00;80;
Batom Matte;15.00;100;
Delineador Líquido;12.00;120;
Perfume Floral;50.00;65;
Shampoo Hidratante;18.00;85;
Condicionador Reparador;18.00;85;
Sabonete Líquido Corporal;10.00;100;
Creme Hidratante para o Corpo;25.00;75;
Escova de Cabelo;8.00;110;
Secador de Cabelo;50.00;45;
Máscara Facial de Argila;15.00;90;
Kit de Maquiagem Completo;80.00;30;
Escova de Dentes Elétrica;35.00;60;
Fio Dental;3.00;200;
Bolsa de Viagem;60.00;40;
Mala de Rodinha;90.00;25;
Necessaire de Viagem;20.00;80;
Câmera Fotográfica;200.00;15;
Tripé para Câmera;30.00;50;
Mochila para Câmera;40.00;60;
Fone de Ouvido Bluetooth;50.00;70;
Carregador Portátil;25.00;85;
Cabo USB;8.00;120;
Mouse Sem Fio;20.00;100;
Teclado Bluetooth;30.00;90;
Monitor LED 24";150.00;35;
Mesa para Computador;80.00;45;
Cadeira de Escritório;120.00;30;
Luminária de Mesa;15.00;100;
Caixa de Som Bluetooth;35.00;55;
Livro de Ficção;15.00;120;
Livro de Não Ficção;20.00;90;
Revista de Moda;5.00;150;
Revista de Tecnologia;5.00;150;
Jogo de Tabuleiro;25.00;70;
Quebra-Cabeça;10.00;110;
Caneca Personalizada;12.00;80;
Almofada Decorativa;20.00;65;
Vaso de Plantas Decorativo;18.00;75;
Tapete de Banheiro;15.00;100;
Porta-Retrato;8.00;130;
Relógio de Parede;25.00;60;
Garrafa Térmica;20.00;85;
Jogo de Toalhas de Banho;30.00;50;
